,incident_type,finding,action_taken
842,Citizen complaint,Not Sustained,No action
843,Citizen complaint,Not Sustained,No action
846,Citizen complaint,Unfounded,No action
847,Citizen complaint,Exonerated,No action
848,Citizen complaint,Unfounded,No action
850,Citizen complaint,Unfounded,No action
852,Citizen complaint,Sustained,Oral Reprimand
853,Citizen complaint,Not Sustained,No action
854,Citizen complaint,Unfounded,No action
855,Citizen complaint,Not Sustained,No action
857,Citizen complaint,Exonerated,No action
858,Citizen complaint,Not Sustained,Counseling
859,Citizen complaint,Sustained,No action
860,Citizen complaint,Not Sustained,No action
861,Citizen complaint,Not Sustained,No action
862,Citizen complaint,Not Sustained,No action
863,Citizen complaint,Not Sustained,No action
864,Citizen complaint,Sustained,No action
865,Citizen complaint,Pending,No action
866,Citizen complaint,Sustained,No action
867,Citizen complaint,Sustained,No action
868,Citizen complaint,Sustained,No action
869,Citizen complaint,Not Sustained,No action
870,Citizen complaint,Sustained,No action
871,Citizen complaint,Not Sustained,No action
872,Citizen complaint,Exonerated,No action
873,Citizen complaint,Exonerated,No action
874,Citizen complaint,Not Sustained,No action
884,Citizen complaint,Not Sustained,No action
885,Citizen complaint,Not Sustained,No action
887,Citizen complaint,Sustained,Resigned/Retired and Charges Pending
888,Citizen complaint,Sustained,No action
889,Citizen complaint,Sustained,No action
890,Citizen complaint,Not Sustained,No action
892,Citizen complaint,Not Sustained,No action
893,Citizen complaint,Not Sustained,No action
894,Citizen complaint,Not Sustained,No action
895,Citizen complaint,Sustained,No action
896,Citizen complaint,Unfounded,No action
897,Citizen complaint,Unfounded,No action
898,Citizen complaint,Exonerated,No action
899,Citizen complaint,Exonerated,No action
900,Citizen complaint,Exonerated,No action
901,Citizen complaint,Sustained,Settlement Agreement
902,Citizen complaint,Not Sustained,No action
903,Citizen complaint,Not Sustained,No action
904,Citizen complaint,Exonerated,No action
905,Citizen complaint,Not Sustained,No action
906,Citizen complaint,Exonerated,No action
907,Citizen complaint,Exonerated,No action
911,Citizen complaint,Not Sustained,No action
918,Citizen complaint,Sustained,Termination
919,Citizen complaint,Sustained,No action
920,Citizen complaint,Pending,No action
921,Citizen complaint,Sustained,No action
