,incident_type,finding,action_taken
1437,Internal investigation,Sustained,No action
1438,Internal investigation,Sustained,No action
1441,Internal investigation,Sustained,No action
1442,Internal investigation,Sustained,No action
1443,Internal investigation,Sustained,No action
1444,Internal investigation,Sustained,No action
1445,Internal investigation,Not Sustained,No action
1446,Internal investigation,Sustained,No action
1447,Internal investigation,Sustained,No action
1451,Internal investigation,Sustained,No action
1452,Internal investigation,Sustained,No action
1453,Internal investigation,Sustained,No action
1457,Internal investigation,Sustained,No action
1458,Internal investigation,Sustained,No action
1459,Internal investigation,Sustained,No action
1460,Internal investigation,Sustained,No action
1461,Internal investigation,Sustained,No action
1462,Internal investigation,Sustained,No action
1463,Internal investigation,Sustained,No action
1466,Internal investigation,Sustained,No action
1470,Internal investigation,Sustained,No action
1474,Internal investigation,Sustained,No action
1475,Internal investigation,Sustained,No action
1477,Internal investigation,Sustained,No action
1480,Internal investigation,Sustained,No action
1481,Internal investigation,Sustained,No action
1482,Internal investigation,Sustained,No action
1483,Internal investigation,Sustained,No action
1489,Internal investigation,Sustained,No action
1490,Internal investigation,Sustained,No action
1491,Internal investigation,Sustained,No action
1495,Internal investigation,Sustained,No action
1496,Internal investigation,Sustained,No action
1498,Internal investigation,Sustained,No action
1500,Internal investigation,Sustained,No action
1501,Internal investigation,Not Sustained,No action
1502,Internal investigation,Not Sustained,No action
1507,Internal investigation,Sustained,No action
1508,Internal investigation,Not Sustained,No action
1509,Internal investigation,Sustained,No action
1510,Internal investigation,Sustained,No action
1511,Internal investigation,Sustained,No action
1514,Internal investigation,Sustained,No action
1516,Internal investigation,Sustained,No action
1517,Internal investigation,Sustained,No action
1532,Internal investigation,Not Sustained,No action
1536,Internal investigation,Sustained,No action
1539,Internal investigation,Sustained,No action
1540,Internal investigation,Not Sustained,No action
1541,Internal investigation,Sustained,No action
1544,Internal investigation,Sustained,No action
1551,Internal investigation,Not Sustained,No action
1553,Internal investigation,Sustained,No action
1554,Internal investigation,Sustained,No action
1555,Internal investigation,Sustained,No action
1556,Internal investigation,Sustained,No action
1557,Internal investigation,Sustained,No action
1558,Internal investigation,Sustained,No action
1559,Internal investigation,Sustained,No action
1560,Internal investigation,Sustained,No action
1561,Internal investigation,Sustained,No action
1573,Internal investigation,Sustained,No action
1574,Internal investigation,Sustained,No action
1575,Internal investigation,Sustained,No action
1578,Internal investigation,Sustained,No action
1580,Internal investigation,Sustained,No action
1581,Internal investigation,Sustained,No action
1586,Internal investigation,Not Sustained,No action
1589,Internal investigation,Sustained,No action
1591,Internal investigation,Sustained,No action
1592,Internal investigation,Sustained,No action
1593,Internal investigation,Sustained,No action
1594,Internal investigation,Not Sustained,No action
1595,Internal investigation,Sustained,No action
1602,Internal investigation,Sustained,No action
1606,Internal investigation,Sustained,No action
1608,Internal investigation,Sustained,No action
1609,Internal investigation,Sustained,No action
1610,Internal investigation,Not Sustained,No action
1618,Internal investigation,Sustained,No action
1619,Internal investigation,Sustained,No action
1620,Internal investigation,Sustained,No action
1623,Internal investigation,Sustained,No action
1625,Internal investigation,Sustained,No action
1626,Internal investigation,Sustained,No action
1627,Internal investigation,Sustained,No action
1631,Internal investigation,Not Sustained,No action
1633,Internal investigation,Sustained,No action
1634,Internal investigation,Sustained,No action
1636,Internal investigation,Sustained,No action
1637,Internal investigation,Sustained,No action
1639,Internal investigation,Sustained,No action
1642,Internal investigation,Sustained,No action
1643,Internal investigation,Sustained,No action
1644,Internal investigation,Sustained,No action
1645,Internal investigation,Sustained,No action
1646,Internal investigation,Sustained,No action
1648,Internal investigation,Sustained,No action
1649,Internal investigation,Sustained,No action
1651,Internal investigation,Sustained,No action
1652,Internal investigation,Not Sustained,No action
1653,Internal investigation,Sustained,No action
1654,Internal investigation,Sustained,No action
1655,Internal investigation,Sustained,No action
1656,Internal investigation,Sustained,No action
1657,Internal investigation,Sustained,No action
1658,Internal investigation,Sustained,No action
1659,Internal investigation,Sustained,No action
1661,Internal investigation,Sustained,No action
1663,Internal investigation,Sustained,No action
1665,Internal investigation,Not Sustained,No action
1666,Internal investigation,Sustained,No action
1670,Internal investigation,Sustained,No action
1671,Internal investigation,Sustained,No action
1675,Internal investigation,Sustained,No action
1676,Internal investigation,Sustained,No action
1677,Internal investigation,Sustained,No action
1678,Internal investigation,Sustained,No action
1684,Internal investigation,Sustained,No action
1685,Internal investigation,Sustained,No action
1689,Internal investigation,Sustained,No action
1690,Internal investigation,Sustained,No action
1691,Internal investigation,Sustained,No action
1692,Internal investigation,Sustained,No action
1693,Internal investigation,Sustained,No action
1696,Internal investigation,Sustained,No action
1697,Internal investigation,Not Sustained,No action
1707,Internal investigation,Sustained,No action
1711,Internal investigation,Not Sustained,No action
1718,Internal investigation,Not Sustained,No action
1726,Internal investigation,Sustained,No action
